,name,locGrp,yr,ptlat_mean,ptlong_mean,wind_max,pressure_min,minlong_min,minlat_min,failTF_sum
161,AL0219921992,3,1992,28.5,-82.9,30,1007,-85.5,24.5,0
451,AL0219941994,3,1994,33.775000000000006,-79.75,30,1015,-81,32.2,0
499,AL0219941994,4,1994,38.60919639999999,-81.4059186,20,1016,-81,32.2,1
588,AL0319871987,0,1987,33.0062727,-96.5391153,30,1009,-94,26.3,1
684,AL0319871987,2,1987,31.37563574117647,-89.0984906,40,1007,-94,26.3,2
732,AL0319871987,3,1987,30.496180233333334,-84.20000834,15,1011,-94,26.3,1
828,AL0319871987,5,1987,29.82364088,-95.08968574,40,1008,-94,26.3,4
1036,AL0720032003,3,2003,32.4,-82.225,25,1018,-83,29.3,0
1177,AL0920002000,0,2000,33.0787152,-96.8083063,25,1010,-93.8,27.5,1
1273,AL0920002000,2,2000,30.4474878,-91.2073261,25,1009,-93.8,27.5,1
1555,Alberto1994,2,1994,31.236728357142855,-87.81014496,55,993,-87.5,21.5,2
1603,Alberto1994,3,1994,32.697355546153844,-85.06154424,25,1004,-87.5,21.5,1
1855,Alberto2006,2,2006,29.2784888,-89.3594449,60,1000,-87.8,20,1
1903,Alberto2006,3,2006,33.08094791,-83.03251755,40,997,-87.8,20,7
2197,Alberto2012,3,2012,33.99271,-83.41999,40,1000,-80.1,30.4,1
2443,Alberto2018,2,2018,31.125426400000002,-89.4097448,55,990,-87.9,28.2,4
2491,Alberto2018,3,2018,31.273472249999998,-85.30840275,45,991,-87.9,28.2,1
2539,Alberto2018,4,2018,39.91328288888889,-85.55133056,30,997,-87.9,28.2,7
2669,Alex2004,1,2004,39.0772435,-77.1186059,85,972,-79.4,30.3,1
2888,Alicia1983,0,1983,36.07998912857143,-98.17007396,30,1003,-98.5,27,12
2984,Alicia1983,2,1983,31.277308966666663,-91.39715127,40,998,-98.5,27,3
3128,Alicia1983,5,1983,29.5752497,-95.78350624,100,962,-98.5,27,12
3182,Allison1989,0,1989,31.9685988,-99.9018131,45,999,-96,27,4
3278,Allison1989,2,1989,31.6407534,-91.3683936,30,1004,-96,27,2
3422,Allison1989,5,1989,29.387777,-95.47983814,45,1000,-96,27,1
3572,Allison1995,2,1995,30.008721,-90.0653341,60,990,-86.3,17.4,1
3620,Allison1995,3,1995,30.35,-84.025,60,990,-86.3,17.4,0
3770,Allison2001,0,2001,35.3409804,-94.1064142,20,1006,-96.1,27.5,2
4010,Allison2001,5,2001,30.34488082105263,-95.43814758,45,1002,-96.1,27.5,6
4035,Amelia1978,0,1978,32.38657368,-98.30011428,25,1010,-98.7,25.7,5
4275,Amelia1978,5,1978,28.192724385714286,-97.1622921,45,1005,-98.7,25.7,3
4464,Amy1975,3,1975,35.4798757,-79.1802994,30,1006,-79,27.5,1
4768,Ana1991,3,1991,32.10827413333333,-82.1527073,25,1012,-79,31.5,3
4984,Ana2015,1,2015,39.01595978727273,-75.58429032,30,1012,-78.8,32.2,9
5080,Ana2015,3,2015,33.875,-78.725,40,1002,-78.8,32.2,0
5318,Andrea2013,2,2013,29.10788,-90.16212,50,999,-86.6,25.1,1
5366,Andrea2013,3,2013,33.848692713333335,-81.88858052,50,992,-86.6,25.1,4
5531,Andrew1986,1,1986,40.582197050000005,-74.19798835,40,1002,-78,29.7,2
5873,Andrew1992,2,1992,31.476707049999998,-90.2170282,125,937,-91.7,10.8,6
5921,Andrew1992,3,1992,31.67024903,-80.38448303,145,922,-91.7,10.8,5
6017,Andrew1992,5,1992,29.765979266666665,-94.58404067,80,973,-91.7,10.8,3
6146,Anita1977,2,1977,30.278162233333333,-90.05858387,50,1003,-103,22,3
6290,Anita1977,5,1977,29.704537677777775,-95.33828616,85,972,-103,22,9
6405,Arthur1996,1,1996,37.849907,-76.0655403,35,1005,-78.8,26.8,1
