,name,locGrp,yr,ptlat_mean,ptlong_mean,wind_max,pressure_min,minlong_min,minlat_min,failTF_sum
161,AL0219921992,3,1992.0,28.5,-82.9,30.0,1007.0,-85.5,24.5,0.0
451,AL0219941994,3,1994.0,33.775000000000006,-79.75,30.0,1015.0,-81.0,32.2,0.0
499,AL0219941994,4,1994.0,38.60919639999999,-81.40591859999999,20.0,1016.0,-81.0,32.2,1.0
588,AL0319871987,0,1987.0,33.0062727,-96.5391153,30.0,1009.0,-94.0,26.3,1.0
684,AL0319871987,2,1987.0,31.37563574117647,-89.09849059999999,40.0,1007.0,-94.0,26.3,2.0
732,AL0319871987,3,1987.0,30.496180233333334,-84.20000834444444,15.0,1011.0,-94.0,26.3,1.0
828,AL0319871987,5,1987.0,29.82364088,-95.08968574000001,40.0,1008.0,-94.0,26.3,4.0
1036,AL0720032003,3,2003.0,32.4,-82.225,25.0,1018.0,-83.0,29.3,0.0
1177,AL0920002000,0,2000.0,33.0787152,-96.8083063,25.0,1010.0,-93.8,27.5,1.0
1273,AL0920002000,2,2000.0,30.4474878,-91.2073261,25.0,1009.0,-93.8,27.5,1.0
1555,Alberto1994,2,1994.0,31.236728357142855,-87.81014495714285,55.0,993.0,-87.5,21.5,2.0
1603,Alberto1994,3,1994.0,32.697355546153844,-85.06154423846154,25.0,1004.0,-87.5,21.5,1.0
1855,Alberto2006,2,2006.0,29.2784888,-89.3594449,60.0,1000.0,-87.8,20.0,1.0
1903,Alberto2006,3,2006.0,33.08094791,-83.03251755,40.0,997.0,-87.8,20.0,7.0
2197,Alberto2012,3,2012.0,33.99271,-83.41999,40.0,1000.0,-80.1,30.4,1.0
2443,Alberto2018,2,2018.0,31.125426400000002,-89.4097448,55.0,990.0,-87.9,28.2,4.0
2491,Alberto2018,3,2018.0,31.273472249999998,-85.30840275,45.0,991.0,-87.9,28.2,1.0
2539,Alberto2018,4,2018.0,39.91328288888889,-85.55133055555557,30.0,997.0,-87.9,28.2,7.0
2669,Alex2004,1,2004.0,39.0772435,-77.11860589999999,85.0,972.0,-79.4,30.3,1.0
2888,Alicia1983,0,1983.0,36.07998912857143,-98.17007396428572,30.0,1003.0,-98.5,27.0,12.0
2984,Alicia1983,2,1983.0,31.277308966666663,-91.39715126666665,40.0,998.0,-98.5,27.0,3.0
3128,Alicia1983,5,1983.0,29.5752497,-95.78350624166667,100.0,962.0,-98.5,27.0,12.0
3182,Allison1989,0,1989.0,31.9685988,-99.9018131,45.0,999.0,-96.0,27.0,4.0
3278,Allison1989,2,1989.0,31.6407534,-91.36839359999999,30.0,1004.0,-96.0,27.0,2.0
3422,Allison1989,5,1989.0,29.387777,-95.47983814,45.0,1000.0,-96.0,27.0,1.0
3572,Allison1995,2,1995.0,30.008721,-90.0653341,60.0,990.0,-86.3,17.4,1.0
3620,Allison1995,3,1995.0,30.35,-84.025,60.0,990.0,-86.3,17.4,0.0
3770,Allison2001,0,2001.0,35.3409804,-94.1064142,20.0,1006.0,-96.1,27.5,2.0
4010,Allison2001,5,2001.0,30.34488082105263,-95.43814757894738,45.0,1002.0,-96.1,27.5,6.0
4035,Amelia1978,0,1978.0,32.38657368,-98.30011428,25.0,1010.0,-98.7,25.7,5.0
4275,Amelia1978,5,1978.0,28.192724385714286,-97.16229209999999,45.0,1005.0,-98.7,25.7,3.0
4464,Amy1975,3,1975.0,35.4798757,-79.1802994,30.0,1006.0,-79.0,27.5,1.0
4768,Ana1991,3,1991.0,32.10827413333333,-82.15270729999999,25.0,1012.0,-79.0,31.5,3.0
4984,Ana2015,1,2015.0,39.01595978727273,-75.58429031727273,30.0,1012.0,-78.8,32.2,9.0
5080,Ana2015,3,2015.0,33.875,-78.725,40.0,1002.0,-78.8,32.2,0.0
5318,Andrea2013,2,2013.0,29.10788,-90.16212,50.0,999.0,-86.6,25.1,1.0
5366,Andrea2013,3,2013.0,33.848692713333335,-81.88858051666666,50.0,992.0,-86.6,25.1,4.0
5531,Andrew1986,1,1986.0,40.582197050000005,-74.19798835,40.0,1002.0,-78.0,29.7,2.0
5873,Andrew1992,2,1992.0,31.476707049999998,-90.2170282,125.0,937.0,-91.7,10.8,6.0
5921,Andrew1992,3,1992.0,31.670249025,-80.384483025,145.0,922.0,-91.7,10.8,5.0
6017,Andrew1992,5,1992.0,29.765979266666665,-94.58404066666667,80.0,973.0,-91.7,10.8,3.0
6146,Anita1977,2,1977.0,30.278162233333333,-90.05858386666667,50.0,1003.0,-103.0,22.0,3.0
6290,Anita1977,5,1977.0,29.704537677777775,-95.33828615555555,85.0,972.0,-103.0,22.0,9.0
6405,Arthur1996,1,1996.0,37.849907,-76.06554030000001,35.0,1005.0,-78.8,26.8,1.0
6501,Arthur1996,3,1996.0,34.550131300000004,-81.89288699999999,40.0,1005.0,-78.8,26.8,3.0
6699,Arthur2002,1,2002.0,38.774522399999995,-76.9697772,30.0,1008.0,-75.1,35.0,2.0
6795,Arthur2002,3,2002.0,36.0896801,-79.95284509999999,30.0,1009.0,-75.1,35.0,1.0
6999,Arthur2014,1,2014.0,39.4392126,-75.25029246666666,85.0,973.0,-79.2,27.5,13.0
7095,Arthur2014,3,2014.0,31.744491,-81.849403,80.0,978.0,-79.2,27.5,3.0
7389,Arthur2020,3,2020.0,34.4638392,-80.06369253333334,45.0,1000.0,-78.7,28.0,3.0
7640,Barry1983,3,1983.0,27.766666666666666,-81.13333333333333,30.0,1013.0,-99.5,25.1,0.0
7736,Barry1983,5,1983.0,28.020670463636364,-98.36505988181817,60.0,995.0,-99.5,25.1,11.0
7898,Barry2001,2,2001.0,31.76,-87.16,60.0,990.0,-88.5,25.7,0.0
7946,Barry2001,3,2001.0,27.9903597,-82.3017728,45.0,1010.0,-88.5,25.7,1.0
8240,Barry2007,3,2007.0,28.6,-82.4,30.0,1000.0,-85.8,22.3,0.0
8396,Barry2019,0,2019.0,34.30539991111111,-97.30702337777777,35.0,1007.0,-91.9,27.7,9.0
8492,Barry2019,2,2019.0,31.035628378571428,-90.90397077714286,65.0,993.0,-91.9,27.7,6.0
8636,Barry2019,5,2019.0,29.89182634666667,-95.21109550666667,50.0,999.0,-91.9,27.7,15.0
8689,Belle1976,1,1976.0,41.26170461666667,-73.96703519166665,80.0,977.0,-75.3,25.6,12.0
8785,Belle1976,3,1976.0,32.7764749,-79.93105120000001,105.0,959.0,-75.3,25.6,1.0
8941,Beryl1988,0,1988.0,32.71674369999999,-96.5463156,20.0,1011.0,-92.6,29.3,1.0
9037,Beryl1988,2,1988.0,30.071299790909094,-90.42384842727273,45.0,1001.0,-92.6,29.3,1.0
