,PipeIDX,CAUSE,LATITUDE,LONGITUDE,yr,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,HurIdx,diftime,distance,frequency,max_int,fourplus,yr,failTF,locGrp,ptlong,ptlat,maxlong,minlat
17485,,,,,2020.0,25.5,-80.8,tropical storm,0.0,35,-1003,60.0,0.0,,,,,,,2020.0,0.0,3,-80.8,25.5,-78.6,25.4
9169,,,,,1992.0,25.6,-81.2,hurricane,4.0,115,-951,,,,,,,,,1992.0,0.0,3,-81.2,25.6,-35.5,10.8
17479,,,,,2020.0,25.6,-81.6,tropical storm,0.0,35,-1003,70.0,0.0,,,,,,,2020.0,0.0,3,-81.6,25.6,-78.6,25.4
14394,,,,,2010.0,25.8,-81.1,tropical depression,-1.0,30,-1008,0.0,0.0,,,,,,,2010.0,0.0,3,-81.1,25.8,-73.8,21.5
11221,,,,,1999.0,25.9,-81.5,tropical storm,0.0,50,-999,,,,,,,,,1999.0,0.0,3,-81.5,25.9,-78.6,25.0
13954,,,,,2008.0,25.9,-81.6,tropical storm,0.0,55,-991,,,,,,,,,2008.0,0.0,3,-81.6,25.9,-67.4,18.4
11222,,,,,1999.0,25.9,-81.7,tropical storm,0.0,50,-999,,,,,,,,,1999.0,0.0,3,-81.7,25.9,-78.6,25.0
13436,,,,,2005.0,25.9,-81.7,hurricane,3.0,105,-950,,,,,,,,,2005.0,0.0,3,-81.7,25.9,-63.5,15.7
13634,,,,,2006.0,26.1,-81.0,tropical storm,0.0,35,-1002,60.0,0.0,,,,,,,2006.0,0.0,3,-81.0,26.1,-61.6,12.7
17719,,,,,2020.0,24.9,-80.7,tropical storm,0.0,55,-993,250.0,0.0,,,,,,,2020.0,0.0,3,-80.7,24.9,-72.4,13.6
17720,,,,,2020.0,25.0,-81.4,tropical storm,0.0,55,-992,200.0,0.0,,,,,,,2020.0,0.0,3,-81.4,25.0,-72.4,13.6
16771,,,,,2018.0,25.1,-80.7,tropical storm,0.0,45,-1006,40.0,0.0,,,,,,,2018.0,0.0,3,-80.7,25.1,-79.4,24.2
16766,,,,,2018.0,25.2,-80.9,tropical storm,0.0,45,-1006,40.0,0.0,,,,,,,2018.0,0.0,3,-80.9,25.2,-79.4,24.2
13636,,,,,2006.0,25.3,-80.8,tropical storm,0.0,40,-1003,115.0,0.0,,,,,,,2006.0,0.0,3,-80.8,25.3,-61.6,12.7
13183,,,,,2005.0,25.4,-81.3,hurricane,1.0,65,-987,115.0,20.0,,,,,,,2005.0,0.0,3,-81.3,25.4,-75.1,23.1
13637,,,,,2006.0,24.9,-80.6,tropical storm,0.0,40,-1003,,,,,,,,,2006.0,0.0,3,-80.6,24.9,-61.6,12.7
16768,,,,,2018.0,25.0,-80.5,tropical storm,0.0,45,-1006,40.0,0.0,,,,,,,2018.0,0.0,3,-80.5,25.0,-79.4,24.2
8048,,,,,1987.0,25.1,-80.5,hurricane,1.0,65,-993,,,,,,,,,1987.0,0.0,3,-80.5,25.1,-76.9,14.1
13639,,,,,2006.0,25.2,-80.7,tropical storm,0.0,40,-1003,,,,,,,,,2006.0,0.0,3,-80.7,25.2,-61.6,12.7
14395,,,,,2010.0,25.4,-80.2,tropical storm,0.0,35,-1007,80.0,0.0,,,,,,,2010.0,0.0,3,-80.2,25.4,-73.8,21.5
1974,3411.0,outside,25.4687224,-80.4775569,1996.0,0.0,0.0,0,,12,-1050,0.0,0.0,3558.0,255.0,285.1852991530444,37.0,980.0,0.0,1996.0,1.0,3,-80.4775569,25.4687224,-97.4,42.4
9167,,,,,1992.0,25.5,-80.2,hurricane,5.0,145,-926,,,,,,,,,1992.0,0.0,3,-80.2,25.5,-35.5,10.8
9168,,,,,1992.0,25.5,-80.3,hurricane,5.0,145,-922,,,,,,,,,1992.0,0.0,3,-80.3,25.5,-35.5,10.8
17487,,,,,2020.0,25.6,-80.2,tropical depression,-1.0,30,-1003,0.0,0.0,,,,,,,2020.0,0.0,3,-80.2,25.6,-78.6,25.4
5492,4604.0,human,25.666698,-80.318509,2019.0,0.0,0.0,0,,12,-1050,0.0,0.0,10766.0,198.0,196.08680584925696,17.0,1000.0,0.0,2019.0,1.0,3,-80.318509,25.666698,-97.4,42.4
523,13392.0,outside,25.7870967,-80.2042436,1980.0,0.0,0.0,0,,12,-1050,0.0,0.0,479.0,154.75,296.965643252891,19.0,970.0,0.0,1980.0,1.0,3,-80.2042436,25.7870967,-97.4,42.4
5646,18419.0,human,25.8025931,-80.1265346,2019.0,26.0,-78.0,0,,115,-944,0.0,0.0,11052.0,30.0,126.0,39.0,910.0,10.0,2019.0,1.0,3,-80.1265346,25.8025931,-46.4,10.3
13182,,,,,2005.0,25.9,-80.3,hurricane,1.0,70,-983,120.0,20.0,,,,,,,2005.0,0.0,3,-80.3,25.9,-75.1,23.1
13177,,,,,2005.0,26.0,-80.1,hurricane,1.0,70,-984,,,,,,,,,2005.0,0.0,3,-80.1,26.0,-75.1,23.1
1230,2877.0,outside,26.1224386,-80.13731740000001,1984.0,0.0,0.0,0,,12,-1050,0.0,0.0,1008.0,231.0,234.66208931403224,22.0,985.0,0.0,1984.0,1.0,3,-80.13731740000001,26.1224386,-97.4,42.4
13735,,,,,2007.0,28.0,-96.9,tropical depression,-1.0,30,-1006,0.0,0.0,,,,,,,2007.0,0.0,5,-96.9,28.0,-90.7,23.7
15836,,,,,2015.0,28.2,-96.7,tropical storm,0.0,50,-997,160.0,0.0,,,,,,,2015.0,0.0,5,-96.7,28.2,-94.3,27.0
17609,,,,,2020.0,28.3,-96.3,tropical storm,0.0,45,-998,150.0,0.0,,,,,,,2020.0,0.0,5,-96.3,28.3,-92.1,21.5
4794,5059.0,outside,28.351947,-96.604308,2015.0,0.0,0.0,0,,12,-1050,0.0,0.0,9610.0,592.75,287.4272934996738,3.0,1008.0,0.0,2015.0,1.0,5,-96.604308,28.351947,-97.4,42.4
17610,,,,,2020.0,28.4,-96.4,tropical storm,0.0,45,-997,150.0,0.0,,,,,,,2020.0,0.0,5,-96.4,28.4,-92.1,21.5
2280,22183.0,outside,28.4552796,-96.8880422,2002.0,0.0,0.0,0,,12,-1050,0.0,0.0,5389.0,381.25,84.00714717334257,29.0,1002.0,0.0,2002.0,1.0,5,-96.8880422,28.4552796,-97.4,42.4
4182,5448.0,outside,28.456567,-96.381337,2012.0,0.0,0.0,0,,12,-1050,0.0,0.0,8751.0,283.75,278.7608814872456,20.0,948.0,0.0,2012.0,1.0,5,-96.381337,28.456567,-97.4,42.4
3757,5715.0,outside,28.15241,-96.19311,2010.0,0.0,0.0,0,,12,-1050,0.0,0.0,8011.0,597.25,250.16010471142644,14.0,950.0,0.0,2010.0,1.0,5,-96.19311,28.15241,-97.4,42.4
12315,,,,,2003.0,28.3,-96.2,hurricane,1.0,80,-979,,,,,,,,,2003.0,0.0,5,-96.2,28.3,-70.0,14.8
5301,4725.0,human,28.4589,-96.3866,2018.0,0.0,0.0,0,,12,-1050,0.0,0.0,10494.0,229.0,299.88833286239026,27.0,937.0,2.0,2018.0,1.0,5,-96.3866,28.4589,-97.4,42.4
3988,28949.0,human,28.480925,-96.37387,2011.0,0.0,0.0,0,,12,-1050,0.0,0.0,8393.0,236.75,285.0225630275122,14.0,948.0,0.0,2011.0,1.0,5,-96.37387,28.480925,-97.4,42.4
12042,,,,,2002.0,28.5,-96.3,tropical storm,0.0,50,-999,,,,,,,,,2002.0,0.0,5,-96.3,28.5,-93.8,27.6
4814,27282.0,outside,28.57446,-96.93008,2015.0,28.0,-96.0,0,,50,-997,0.0,0.0,9783.0,1.0,29.0,9.0,997.0,0.0,2015.0,1.0,5,-96.93008,28.57446,-94.3,27.0
6074,25016.0,outside,28.585906,-96.918319,2021.0,0.0,0.0,0,,12,-1050,0.0,0.0,11691.0,153.25,33.35468238041984,41.0,973.0,0.0,2021.0,1.0,5,-96.918319,28.585906,-97.4,42.4
6009,25079.0,outside,28.587479,-96.916622,2021.0,0.0,0.0,0,,12,-1050,0.0,0.0,11691.0,114.25,33.20588834664372,41.0,973.0,0.0,2021.0,1.0,5,-96.916622,28.587479,-97.4,42.4
17618,,,,,2020.0,28.6,-96.6,tropical storm,0.0,40,-999,120.0,0.0,,,,,,,2020.0,0.0,5,-96.6,28.6,-92.1,21.5
4,1293.0,outside,28.6477735,-96.8924852,1976.0,0.0,0.0,0,,12,-1050,0.0,0.0,76.0,142.5,264.61479463376475,4.0,993.0,0.0,1976.0,1.0,5,-96.8924852,28.6477735,-97.4,42.4
2755,23119.0,outside,28.66565719999999,-96.5676625,2005.0,0.0,0.0,0,,12,-1050,0.0,0.0,6844.0,162.5,282.92202111151835,20.0,979.0,0.0,2005.0,1.0,5,-96.5676625,28.66565719999999,-97.4,42.4
2742,23126.0,outside,28.66565719999999,-96.5676625,2005.0,0.0,0.0,0,,12,-1050,0.0,0.0,6844.0,148.5,282.92202111151835,20.0,979.0,0.0,2005.0,1.0,5,-96.5676625,28.66565719999999,-97.4,42.4
16506,,,,,2017.0,28.4,-95.9,tropical storm,0.0,40,-997,210.0,0.0,,,,,,,2017.0,0.0,5,-95.9,28.4,-52.0,13.0
3801,5703.0,outside,28.466111,-95.728056,2010.0,0.0,0.0,0,,12,-1050,0.0,0.0,8011.0,645.25,224.2252971572416,17.0,950.0,0.0,2010.0,1.0,5,-95.728056,28.466111,-97.4,42.4
8309,,,,,1989.0,28.6,-95.7,tropical storm,0.0,40,-1003,,,,,,,,,1989.0,0.0,5,-95.7,28.6,-94.6,27.0
17095,,,,,2019.0,28.6,-95.5,tropical storm,0.0,35,-1006,40.0,0.0,,,,,,,2019.0,0.0,5,-95.5,28.6,-94.8,28.3
8308,,,,,1989.0,28.7,-95.7,tropical storm,0.0,40,-1002,,,,,,,,,1989.0,0.0,5,-95.7,28.7,-94.6,27.0
17976,,,,,2021.0,28.7,-95.7,hurricane,1.0,65,-991,170.0,45.0,,,,,,,2021.0,0.0,5,-95.7,28.7,-93.1,21.0
17975,,,,,2021.0,28.8,-95.7,hurricane,1.0,65,-991,190.0,25.0,,,,,,,2021.0,0.0,5,-95.7,28.8,-93.1,21.0
11644,,,,,2001.0,28.9,-95.6,tropical depression,-1.0,20,-1008,,,,,,,,,2001.0,0.0,5,-95.6,28.9,-94.9,27.5
17099,,,,,2019.0,28.9,-95.4,tropical storm,0.0,40,-1003,40.0,0.0,,,,,,,2019.0,0.0,5,-95.4,28.9,-94.8,28.3
5801,25313.0,outside,28.920494,-95.377879,2020.0,0.0,0.0,0,,12,-1050,0.0,0.0,11254.0,164.25,234.91090789149345,21.0,993.0,0.0,2020.0,1.0,5,-95.377879,28.920494,-97.4,42.4
5757,4498.0,outside,28.67789779,-96.93815455,2020.0,0.0,0.0,0,,12,-1050,0.0,0.0,11254.0,115.25,280.5954023621706,16.0,993.0,0.0,2020.0,1.0,5,-96.93815455,28.67789779,-97.4,42.4
3423,4062.0,outside,28.6797169,-96.5602537,2008.0,29.0,-94.0,0,,95,-950,0.0,0.0,8013.0,8.0,120.0,30.0,950.0,0.0,2008.0,1.0,5,-96.5602537,28.6797169,-37.0,17.2
2561,3695.0,outside,28.6797169,-96.5602537,2004.0,0.0,0.0,0,,12,-1050,0.0,0.0,6140.0,223.5,248.0150461210237,28.0,962.0,0.0,2004.0,1.0,5,-96.5602537,28.6797169,-97.4,42.4
5800,4478.0,human,28.68599,-96.8194,2020.0,0.0,0.0,0,,12,-1050,0.0,0.0,11254.0,164.25,275.67885175770084,16.0,993.0,0.0,2020.0,1.0,5,-96.8194,28.68599,-97.4,42.4
1168,2847.0,outside,28.6955496,-96.9444308,1984.0,0.0,0.0,0,,12,-1050,0.0,0.0,1020.0,149.75,270.5438789174734,28.0,962.0,0.0,1984.0,1.0,5,-96.9444308,28.6955496,-97.4,42.4
1173,2846.0,outside,28.6955496,-96.9444308,1984.0,0.0,0.0,0,,12,-1050,0.0,0.0,1020.0,154.75,270.5438789174734,28.0,962.0,0.0,1984.0,1.0,5,-96.9444308,28.6955496,-97.4,42.4
1171,2845.0,outside,28.6955496,-96.9444308,1984.0,0.0,0.0,0,,12,-1050,0.0,0.0,1020.0,153.75,270.5438789174734,28.0,962.0,0.0,1984.0,1.0,5,-96.9444308,28.6955496,-97.4,42.4
5174,4810.0,outside,28.6999223,-96.9433878,2017.0,28.0,-96.0,0,,35,-997,0.0,0.0,10481.0,9.0,11.0,26.0,937.0,2.0,2017.0,1.0,5,-96.9433878,28.6999223,-52.0,13.0
5156,4814.0,human,28.7000143,-96.9436466,2017.0,28.0,-97.0,0,,65,-978,0.0,0.0,10471.0,0.0,21.0,10.0,937.0,2.0,2017.0,1.0,5,-96.9436466,28.7000143,-52.0,13.0
5144,4844.0,outside,28.7002286,-96.9427669,2017.0,0.0,0.0,0,,12,-1050,0.0,0.0,9788.0,720.25,270.68614651772424,9.0,997.0,0.0,2017.0,1.0,5,-96.9427669,28.7002286,-97.4,42.4
6642,,,,,1978.0,25.7,-97.0,tropical depression,-1.0,30,-1006,,,,,,,,,1978.0,0.0,5,-97.0,25.7,-97.0,25.7
14385,,,,,2010.0,26.1,-97.1,tropical depression,-1.0,30,-1006,0.0,0.0,,,,,,,2010.0,0.0,5,-97.1,26.1,-93.7,23.7
6643,,,,,1978.0,26.4,-97.4,tropical storm,0.0,45,-1005,,,,,,,,,1978.0,0.0,5,-97.4,26.4,-97.0,25.7
17328,,,,,2020.0,26.2,-99.3,tropical storm,0.0,40,-996,120.0,0.0,,,,,,,2020.0,0.0,5,-99.3,26.2,-88.3,25.7
10,10065.0,outside,26.0922991,-97.9572242,1976.0,0.0,0.0,0,,12,-1050,0.0,0.0,76.0,226.5,84.87830000852239,10.0,963.0,0.0,1976.0,1.0,5,-97.9572242,26.0922991,-97.4,42.4
4350,5364.0,human,26.150716,-98.248558,2013.0,0.0,0.0,0,,12,-1050,0.0,0.0,8665.0,591.9166666666666,94.9355202125465,4.0,1002.0,0.0,2013.0,1.0,5,-98.248558,26.150716,-97.4,42.4
62,10590.0,outside,26.1906306,-97.6961026,1977.0,0.0,0.0,0,,12,-1050,0.0,0.0,76.0,510.5,101.81649103805154,11.0,963.0,0.0,1977.0,1.0,5,-97.6961026,26.1906306,-97.4,42.4
107,10957.0,outside,26.2034071,-98.2300124,1977.0,0.0,0.0,0,,12,-1050,0.0,0.0,76.0,574.5,78.5588796345496,10.0,963.0,0.0,1977.0,1.0,5,-98.2300124,26.2034071,-97.4,42.4
2721,3760.0,human,26.2872995,-98.3133594,2005.0,0.0,0.0,0,,12,-1050,0.0,0.0,6841.0,119.25,298.3531324374264,15.0,979.0,0.0,2005.0,1.0,5,-98.3133594,26.2872995,-97.4,42.4
5959,18301.0,human,26.32707,-98.28078,2020.0,28.0,-96.0,0,,45,-998,0.0,0.0,11688.0,16.0,182.0,36.0,973.0,0.0,2020.0,1.0,5,-98.28078,26.32707,-92.1,21.5
3084,3904.0,outside,26.3797874,-98.8203046,2007.0,0.0,0.0,0,,12,-1050,0.0,0.0,6931.0,556.5,277.17698375228787,10.0,944.0,0.0,2007.0,1.0,5,-98.8203046,26.3797874,-97.4,42.4
