,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,DATETIME1,date,start_date,time,pointh,end_date
0,Amy,1975,06,27,00,27.5,-79,tropical depression,-1,25,1013,,,1975-06-27 00:00:00,1975-06-27,1975-06-27,00:00:00,POINT (27.5 -79),1975-07-27
1,Amy,1975,06,27,06,28.5,-79,tropical depression,-1,25,1013,,,1975-06-27 06:00:00,1975-06-27,1975-06-27,06:00:00,POINT (28.5 -79),1975-07-27
2,Amy,1975,06,27,12,29.5,-79,tropical depression,-1,25,1013,,,1975-06-27 12:00:00,1975-06-27,1975-06-27,12:00:00,POINT (29.5 -79),1975-07-27
3,Amy,1975,06,27,18,30.5,-79,tropical depression,-1,25,1013,,,1975-06-27 18:00:00,1975-06-27,1975-06-27,18:00:00,POINT (30.5 -79),1975-07-27
4,Amy,1975,06,28,00,31.5,-78.8,tropical depression,-1,25,1012,,,1975-06-28 00:00:00,1975-06-28,1975-06-28,00:00:00,POINT (31.5 -78.8),1975-07-28
5,Amy,1975,06,28,06,32.4,-78.7,tropical depression,-1,25,1012,,,1975-06-28 06:00:00,1975-06-28,1975-06-28,06:00:00,POINT (32.4 -78.7),1975-07-28
6,Amy,1975,06,28,12,33.3,-78,tropical depression,-1,25,1011,,,1975-06-28 12:00:00,1975-06-28,1975-06-28,12:00:00,POINT (33.3 -78),1975-07-28
7,Amy,1975,06,28,18,34,-77,tropical depression,-1,30,1006,,,1975-06-28 18:00:00,1975-06-28,1975-06-28,18:00:00,POINT (34 -77),1975-07-28
9,Amy,1975,06,29,06,34,-74.8,tropical storm,0,40,1002,,,1975-06-29 06:00:00,1975-06-29,1975-06-29,06:00:00,POINT (34 -74.8),1975-07-29
8,Amy,1975,06,29,00,34.4,-75.8,tropical storm,0,35,1004,,,1975-06-29 00:00:00,1975-06-29,1975-06-29,00:00:00,POINT (34.4 -75.8),1975-07-29
11,Amy,1975,06,29,18,33.8,-72.8,tropical storm,0,50,998,,,1975-06-29 18:00:00,1975-06-29,1975-06-29,18:00:00,POINT (33.8 -72.8),1975-07-29
10,Amy,1975,06,29,12,33.8,-73.8,tropical storm,0,45,1000,,,1975-06-29 12:00:00,1975-06-29,1975-06-29,12:00:00,POINT (33.8 -73.8),1975-07-29
12,Amy,1975,06,30,00,34.3,-71.6,tropical storm,0,50,998,,,1975-06-30 00:00:00,1975-06-30,1975-06-30,00:00:00,POINT (34.3 -71.6),1975-07-30
13,Amy,1975,06,30,06,35.6,-70.8,tropical storm,0,55,998,,,1975-06-30 06:00:00,1975-06-30,1975-06-30,06:00:00,POINT (35.6 -70.8),1975-07-30
14,Amy,1975,06,30,12,35.9,-70.5,tropical storm,0,60,987,,,1975-06-30 12:00:00,1975-06-30,1975-06-30,12:00:00,POINT (35.9 -70.5),1975-07-30
15,Amy,1975,06,30,18,36.2,-70.2,tropical storm,0,60,987,,,1975-06-30 18:00:00,1975-06-30,1975-06-30,18:00:00,POINT (36.2 -70.2),1975-07-30
18,Amy,1975,07,1,12,36.2,-68.3,tropical storm,0,60,984,,,1975-07-01 12:00:00,1975-07-01,1975-07-01,12:00:00,POINT (36.2 -68.3),1975-07-31
19,Amy,1975,07,1,18,36.7,-67.2,tropical storm,0,60,984,,,1975-07-01 18:00:00,1975-07-01,1975-07-01,18:00:00,POINT (36.7 -67.2),1975-07-31
16,Amy,1975,07,1,00,36.2,-69.8,tropical storm,0,60,984,,,1975-07-01 00:00:00,1975-07-01,1975-07-01,00:00:00,POINT (36.2 -69.8),1975-07-31
17,Amy,1975,07,1,06,36.2,-69.4,tropical storm,0,60,984,,,1975-07-01 06:00:00,1975-07-01,1975-07-01,06:00:00,POINT (36.2 -69.4),1975-07-31
21,Amy,1975,07,2,06,37.3,-65.9,tropical storm,0,60,984,,,1975-07-02 06:00:00,1975-07-02,1975-07-02,06:00:00,POINT (37.3 -65.9),1975-08-01
20,Amy,1975,07,2,00,37.4,-66.7,tropical storm,0,60,984,,,1975-07-02 00:00:00,1975-07-02,1975-07-02,00:00:00,POINT (37.4 -66.7),1975-08-01
23,Amy,1975,07,2,18,37.3,-64.1,tropical storm,0,60,986,,,1975-07-02 18:00:00,1975-07-02,1975-07-02,18:00:00,POINT (37.3 -64.1),1975-08-01
22,Amy,1975,07,2,12,37.3,-65.1,tropical storm,0,60,981,,,1975-07-02 12:00:00,1975-07-02,1975-07-02,12:00:00,POINT (37.3 -65.1),1975-08-01
24,Amy,1975,07,3,00,37.7,-62.8,tropical storm,0,55,986,,,1975-07-03 00:00:00,1975-07-03,1975-07-03,00:00:00,POINT (37.7 -62.8),1975-08-02
25,Amy,1975,07,3,06,38.2,-61.2,tropical storm,0,55,986,,,1975-07-03 06:00:00,1975-07-03,1975-07-03,06:00:00,POINT (38.2 -61.2),1975-08-02
26,Amy,1975,07,3,12,39.3,-59.6,tropical storm,0,55,986,,,1975-07-03 12:00:00,1975-07-03,1975-07-03,12:00:00,POINT (39.3 -59.6),1975-08-02
27,Amy,1975,07,3,18,40.5,-58,tropical storm,0,50,986,,,1975-07-03 18:00:00,1975-07-03,1975-07-03,18:00:00,POINT (40.5 -58),1975-08-02
28,Amy,1975,07,4,00,42.5,-54.8,tropical storm,0,50,986,,,1975-07-04 00:00:00,1975-07-04,1975-07-04,00:00:00,POINT (42.5 -54.8),1975-08-03
29,Amy,1975,07,4,06,44.5,-51.6,tropical storm,0,50,986,,,1975-07-04 06:00:00,1975-07-04,1975-07-04,06:00:00,POINT (44.5 -51.6),1975-08-03
30,Caroline,1975,08,24,12,22.4,-69.8,tropical depression,-1,25,1011,,,1975-08-24 12:00:00,1975-08-24,1975-08-24,12:00:00,POINT (22.4 -69.8),1975-09-23
31,Caroline,1975,08,24,18,21.9,-71.1,tropical depression,-1,25,1011,,,1975-08-24 18:00:00,1975-08-24,1975-08-24,18:00:00,POINT (21.9 -71.1),1975-09-23
32,Caroline,1975,08,25,00,21.6,-72.5,tropical depression,-1,25,1010,,,1975-08-25 00:00:00,1975-08-25,1975-08-25,00:00:00,POINT (21.6 -72.5),1975-09-24
33,Caroline,1975,08,25,06,21.2,-73.8,tropical depression,-1,25,1010,,,1975-08-25 06:00:00,1975-08-25,1975-08-25,06:00:00,POINT (21.2 -73.8),1975-09-24
34,Caroline,1975,08,25,12,20.9,-75.1,tropical depression,-1,25,1011,,,1975-08-25 12:00:00,1975-08-25,1975-08-25,12:00:00,POINT (20.9 -75.1),1975-09-24
35,Caroline,1975,08,25,18,20.6,-76.4,tropical depression,-1,25,1011,,,1975-08-25 18:00:00,1975-08-25,1975-08-25,18:00:00,POINT (20.6 -76.4),1975-09-24
38,Caroline,1975,08,26,12,20.2,-80.3,tropical depression,-1,25,1012,,,1975-08-26 12:00:00,1975-08-26,1975-08-26,12:00:00,POINT (20.2 -80.3),1975-09-25
39,Caroline,1975,08,26,18,20.2,-81.6,tropical depression,-1,25,1012,,,1975-08-26 18:00:00,1975-08-26,1975-08-26,18:00:00,POINT (20.2 -81.6),1975-09-25
36,Caroline,1975,08,26,00,20.4,-77.7,tropical depression,-1,25,1011,,,1975-08-26 00:00:00,1975-08-26,1975-08-26,00:00:00,POINT (20.4 -77.7),1975-09-25
37,Caroline,1975,08,26,06,20.3,-79,tropical depression,-1,25,1011,,,1975-08-26 06:00:00,1975-08-26,1975-08-26,06:00:00,POINT (20.3 -79),1975-09-25
40,Caroline,1975,08,27,00,20.4,-82.8,tropical depression,-1,25,1013,,,1975-08-27 00:00:00,1975-08-27,1975-08-27,00:00:00,POINT (20.4 -82.8),1975-09-26
41,Caroline,1975,08,27,06,20.8,-84,tropical depression,-1,25,1013,,,1975-08-27 06:00:00,1975-08-27,1975-08-27,06:00:00,POINT (20.8 -84),1975-09-26
42,Caroline,1975,08,27,12,21.1,-85.1,tropical depression,-1,25,1014,,,1975-08-27 12:00:00,1975-08-27,1975-08-27,12:00:00,POINT (21.1 -85.1),1975-09-26
43,Caroline,1975,08,27,18,21.5,-86.3,tropical depression,-1,25,1014,,,1975-08-27 18:00:00,1975-08-27,1975-08-27,18:00:00,POINT (21.5 -86.3),1975-09-26
